lemma	rank
praebeo	584
regio	585
sententia	586
acer	587
supra	588
brevis	589
citus	590
cornu	591
ingratus	592
moenia	593
vinculum	594
ceterus	596
exeo	597
malo	598
species	599
ultra	600
certe	601
impero	602
male	603
prohibeo	604
clamor	605
dono	606
officium	607
committo	608
cresco	609
aequus	610
factum	611
caedo	612
existimo	613
accedo	614
contemno	615
pudor	616
antiquus	617
ardeo	618
ibi	619
provincia	620
quando	621
custos	622
supersum	623
desino	624
fessus	625
praeda	626
memoria	627
divido	628
pretium	629
pontus	630
varius	631
veho	632
falsus	633
niger	634
oppidum	635
pondus	636
arvum	637
arx	638
sors	639
vinum	640
diversus	641
orior	642
ecce	643
quamquam	644
confero	645
facinus	646
retineo	647
spero	648
plebs	649
pugna	650
repeto	651
constituo	652
defendo	653
maritus	654
cerno	655
superbus	656
morbus	658
sanctus	659
communis	660
deduco	661
ripa	662
concedo	663
hora	664
veto	665
cohors	666
gigno	667
supero	668
maestus	669
memini	670
impleo	671
magnitudo	672
vacuus	673
vagus	674
vulgus	675
deficio	676
occurro	677
statuo	678
ideo	679
praemium	680
praeterea	681
tertius	682
supplicium	683
vates	684
astrum	685
undique	686
canis	687
edo	688
fateor	689
amicitia	690
aureus	691
candidus	692
interim	693
frustra	694
lateo	695
securus	697
convenio	698
interficio	699
appello	700
dolus	701
permitto	702
spiritus	703
intra	704
terreo	705
fons	706
invidia	707
pugno	708
augeo	709
littera	710
moneo	711
divitiae	712
experior	713
superi	714
otium	715
vestigium	716
sino	717
decet	718
effundo	719
promitto	720
fingo	721
respicio	722
imperator	723
vaco	724
color	725
discedo	726
gaudium	727
caecus	728
libet	729
centum	730
consto	731
lingua	732
multitudo	733
aeternus	734
circa	735
oratio	736
potestas	737
tardus	738
for	739
humus	740
testis	741
infero	742
curo	743
aes	744
celer	745
procedo	746
mensa	747
pius	748
iudicium	749
victoria	750
damno	751
rarus	752
tempestas	753
imago	754
oro	755
praeter	756
consulo	757
iterum	758
porta	759
intersum	760
libido	761
sustineo	762
aliquando	763
maiores	764
reperio	765
intro	766
pietas	767
barbarus	768
culpa	769
iustus	770
donec	771
fluo	772
necesse	773
reor	774
tenebrae	775
saeculum	776
dimitto	777
cinis	779
consisto	780
recens	781
aliter	782
laedo	783
probo	784
doleo	785
quare	786
antequam	787
reliquus	788
semel	789
odi	790
sicut	791
pecco	792
sensus	793
exsilium	794
cor	795
denique	796
sapientia	797
statim	798
accido	799
decerno	800
occido	801
descendo	802
hiems	803
contineo	804
defero	805
oportet	806
tribunus	807
bos	808
irascor	809
aeger	810
forum	811
offero	812
revoco	813
cingo	814
integer	815
validus	816
alo	817
flos	818
ictus	819
colligo	820
pergo	821
praesens	822
rectus	823
praeceptum	825
recedo	826
utrum	827
fames	828
pario	829
appareo	830
quomodo	831
error	832
forsitan	833
converto	834
proficiscor	835
secundus	836
aperio	837
castus	838
iudex	839
lapis	840
nimis	841
onus	842
opera	843
pauper	844
aer	845
negotium	846
pareo	847
subito	848
argentum	849
utilis	850
aether	851
mereo	852
porto	853
proprius	854
avis	855
vanus	856
materia	857
pauci	858
voluntas	859
egregius	860
difficilis	861
gladius	862
cibus	863
certo	864
initium	865
pertineo	866
quattuor	867
turbo	868
consumo	869
corrumpo	870
incido	871
paulo	872
hospes	873
rideo	874
aevum	875
audax	876
posterus	877
praetor	878
rus	879
differo	880
vito	881
