# Supplemental grc inflections from MorphGNT/SBLGNT (CC BY-SA 3.0 analysis).
# inflected_form<TAB>lemma<TAB>type — merged by build-dictionary.ts --lang grc.
# Regenerate: python scripts/gen-morphgnt-inflections-grc.py
αἰγείοις	αἴγειος	morphgnt,adjective
αἰγιαλόν	αἰγιαλός	morphgnt,noun
αἰγιαλὸν	αἰγιαλός	morphgnt,noun
αἰγυπτίων	αἰγύπτιος	morphgnt,adjective
αἰγύπτιοι	αἰγύπτιος	morphgnt,adjective
αἰγύπτιον	αἰγύπτιος	morphgnt,adjective
αἰγύπτου	αἴγυπτος	morphgnt,noun
αἰγύπτῳ	αἴγυπτος	morphgnt,noun
αἰδοῦς	αἰδώς	morphgnt,noun
αἰθιόπων	αἰθίοψ	morphgnt,noun
αἰνέα	αἰνέας	morphgnt,noun
αἰνέαν	αἰνέας	morphgnt,noun
αἰνέσεως	αἴνεσις	morphgnt,noun
αἰνίγματι	αἴνιγμα	morphgnt,noun
αἰνεῖν	αἰνέω	morphgnt,verb
αἰνεῖτε	αἰνέω	morphgnt,verb
αἰνούντων	αἰνέω	morphgnt,verb
αἰνοῦντα	αἰνέω	morphgnt,verb
αἰνοῦντες	αἰνέω	morphgnt,verb
αἰνὼν	αἰνών	morphgnt,noun
αἰνῶν	αἰνέω	morphgnt,verb
αἰρόμενον	αἴρω	morphgnt,verb
αἰσθήσει	αἴσθησις	morphgnt,noun
αἰσθητήρια	αἰσθητήριον	morphgnt,noun
αἰσχροκερδεῖς	αἰσχροκερδής	morphgnt,adjective
αἰσχροκερδῆ	αἰσχροκερδής	morphgnt,adjective
αἰσχρολογίαν	αἰσχρολογία	morphgnt,noun
αἰσχροῦ	αἰσχρός	morphgnt,adjective
αἰσχρόν	αἰσχρός	morphgnt,adjective
αἰσχρὸν	αἰσχρός	morphgnt,adjective
αἰσχυνέσθω	αἰσχύνομαι	morphgnt,verb
αἰσχυνθήσομαι	αἰσχύνομαι	morphgnt,verb
αἰσχυνθῶμεν	αἰσχύνομαι	morphgnt,verb
αἰσχύνας	αἰσχύνη	morphgnt,noun
αἰσχύνης	αἰσχύνη	morphgnt,noun
αἰσχύνῃ	αἰσχύνη	morphgnt,noun
αἰτήματα	αἴτημα	morphgnt,noun
αἰτήσας	αἰτέω	morphgnt,verb
αἰτήσασθε	αἰτέω	morphgnt,verb
αἰτήσει	αἰτέω	morphgnt,verb
αἰτήσεσθε	αἰτέω	morphgnt,verb
αἰτήσητέ	αἰτέω	morphgnt,verb
αἰτήσηται	αἰτέω	morphgnt,verb
αἰτήσητε	αἰτέω	morphgnt,verb
αἰτήσουσιν	αἰτέω	morphgnt,verb
αἰτήσωμέν	αἰτέω	morphgnt,verb
αἰτήσωμαι	αἰτέω	morphgnt,verb
αἰτήσωνται	αἰτέω	morphgnt,verb
αἰτήσῃ	αἰτέω	morphgnt,verb
αἰτήσῃς	αἰτέω	morphgnt,verb
αἰτίαν	αἰτία	morphgnt,noun
αἰτίας	αἰτία	morphgnt,noun
αἰτίου	αἴτιον	morphgnt,adjective
αἰτείτω	αἰτέω	morphgnt,verb
αἰτεῖν	αἰτέω	morphgnt,verb
αἰτεῖς	αἰτέω	morphgnt,verb
αἰτεῖσθαι	αἰτέω	morphgnt,verb
αἰτεῖσθε	αἰτέω	morphgnt,verb
αἰτεῖτε	αἰτέω	morphgnt,verb
αἰτιώματα	αἰτίωμα	morphgnt,noun
αἰτούμεθα	αἰτέω	morphgnt,verb
αἰτούμενοι	αἰτέω	morphgnt,verb
αἰτοῦμαι	αἰτέω	morphgnt,verb
αἰτοῦντί	αἰτέω	morphgnt,verb
αἰτοῦντι	αἰτέω	morphgnt,verb
αἰτοῦσά	αἰτέω	morphgnt,verb
αἰτοῦσιν	αἰτέω	morphgnt,verb
αἰτώμεθα	αἰτέω	morphgnt,verb
αἰτῆσαι	αἰτέω	morphgnt,verb
αἰτῶμεν	αἰτέω	morphgnt,verb
αἰτῶν	αἰτέω	morphgnt,verb
αἰχμαλωσίαν	αἰχμαλωσία	morphgnt,noun
αἰχμαλωτίζοντά	αἰχμαλωτίζω	morphgnt,verb
αἰχμαλωτίζοντες	αἰχμαλωτίζω	morphgnt,verb
αἰχμαλωτισθήσονται	αἰχμαλωτίζω	morphgnt,verb
αἰχμαλώτοις	αἰχμάλωτος	morphgnt,noun
αἰωνίαν	αἰώνιος	morphgnt,adjective
αἰωνίου	αἰώνιος	morphgnt,adjective
αἰωνίους	αἰώνιος	morphgnt,adjective
αἰωνίων	αἰώνιος	morphgnt,adjective
αἰώνια	αἰώνιος	morphgnt,adjective
αἰώνιον	αἰώνιος	morphgnt,adjective
αἰώνιός	αἰώνιος	morphgnt,adjective
αἰώνων	αἰών	morphgnt,noun
αἰῶνα	αἰών	morphgnt,noun
αἰῶνας	αἰών	morphgnt,noun
αἰῶνι	αἰών	morphgnt,noun
αἰῶνος	αἰών	morphgnt,noun
αἰῶνός	αἰών	morphgnt,noun
αἰῶσιν	αἰών	morphgnt,noun
αἱ	ὁ	morphgnt,article
αἱμάτων	αἷμα	morphgnt,noun
αἱματεκχυσίας	αἱματεκχυσία	morphgnt,noun
αἱμορροοῦσα	αἱμορροέω	morphgnt,verb
αἱρέσεις	αἵρεσις	morphgnt,noun
αἱρέσεως	αἵρεσις	morphgnt,noun
αἱρήσομαι	αἱρέομαι	morphgnt,verb
αἱρετικὸν	αἱρετικός	morphgnt,adjective
αἳ	ὅς	morphgnt,pronoun
αἴγυπτον	αἴγυπτος	morphgnt,noun
αἴρει	αἴρω	morphgnt,verb
αἴρεις	αἴρω	morphgnt,verb
αἴρεται	αἴρω	morphgnt,verb
αἴρετε	αἴρω	morphgnt,verb
αἴροντος	αἴρω	morphgnt,verb
αἴροντός	αἴρω	morphgnt,verb
αἴρων	αἴρω	morphgnt,verb
αἴρωσιν	αἴρω	morphgnt,verb
αἴσθωνται	αἰσθάνομαι	morphgnt,verb
αἴτησόν	αἰτέω	morphgnt,verb
αἴτιον	αἴτιος	morphgnt,adjective
αἵ	ὁ	morphgnt,article
αἵ	ὅς	morphgnt,pronoun
αἵματί	αἷμα	morphgnt,noun
αἵματι	αἷμα	morphgnt,noun
αἵματος	αἷμα	morphgnt,noun
αἵματός	αἷμα	morphgnt,noun
αἵρεσιν	αἵρεσις	morphgnt,noun
αἵτινες	ὅστις	morphgnt,pronoun
αἶνον	αἶνος	morphgnt,noun
αἶρε	αἴρω	morphgnt,verb
αἷμά	αἷμα	morphgnt,noun
αἷς	ὅς	morphgnt,pronoun
αὐγάσαι	αὐγάζω	morphgnt,verb
αὐγούστου	αὐγοῦστος	morphgnt,noun
αὐγῆς	αὐγή	morphgnt,noun
αὐθάδεις	αὐθάδης	morphgnt,adjective
αὐθάδη	αὐθάδης	morphgnt,adjective
αὐθαίρετοι	αὐθαίρετος	morphgnt,adjective
αὐθεντεῖν	αὐθεντέω	morphgnt,verb
αὐλήν	αὐλή	morphgnt,noun
αὐλητὰς	αὐλητής	morphgnt,noun
αὐλητῶν	αὐλητής	morphgnt,noun
