# Supplemental hbo inflections from OSHB (CC BY 4.0 analysis).
# inflected_form<TAB>lemma<TAB>type — merged by build-dictionary.ts --lang hbo.
# Regenerate: python scripts/gen-dictionary-roots-hbo.py
אאזרך	אזר	oshb,verb
אאמין	אמן	oshb,verb
אאמצכם	אמץ	oshb,verb
אאסף	אסף	oshb,verb
אאר	ארר	oshb,verb
אאריך	ארך	oshb,verb
אבא	בוא	oshb,verb
אבאה	בוא	oshb,verb
אבגיל	אביגיל	oshb,name
אבדה	אבד	oshb,verb
אבדו	אבד	oshb,verb
אבדות	אבד	oshb,verb
אבדך	אבד	oshb,verb
אבדכם	אבד	oshb,verb
אבדם	אבד	oshb,verb
אבדנו	אבד	oshb,verb
אבדת	אבד	oshb,verb
אבדת	אבדה	oshb,noun
אבדתי	אבד	oshb,verb
אבהל	בהל	oshb,verb
אבהתי	אב	oshb,noun
אבהתך	אב	oshb,noun
אבהתנא	אב	oshb,noun
אבו	אבה	oshb,verb
אבוא	אבה	oshb,verb
אבוא	בוא	oshb,verb
אבוגיל	אביגיל	oshb,name
אבוהי	אב	oshb,noun
אבוך	אב	oshb,noun
אבוס	אבס	oshb,verb
אבוסים	אבס	oshb,verb
אבוסך	אבוס	oshb,noun
אבוסנו	בוס	oshb,verb
אבוש	בוש	oshb,verb
אבושה	בוש	oshb,verb
אבות	אב	oshb,noun
אבותי	אב	oshb,noun
אבותיהם	אב	oshb,noun
אבותיו	אב	oshb,noun
אבותיך	אב	oshb,noun
אבותיכם	אב	oshb,noun
אבותינו	אב	oshb,noun
אבותכם	אב	oshb,noun
אבותם	אב	oshb,noun
אבחנך	בחן	oshb,verb
אבחר	בחר	oshb,verb
אבחרה	בחר	oshb,verb
אבחרהו	בחר	oshb,verb
אבחת	אבחה	oshb,noun
אבטח	בטח	oshb,verb
אבי	אב	oshb,noun
אבי	אבה	oshb,noun
אבי	בוא	oshb,verb
אביא	בוא	oshb,verb
אביאך	בוא	oshb,verb
אביאם	בוא	oshb,verb
אביאנה	בוא	oshb,verb
אביאנו	בוא	oshb,verb
אביגל	אביגיל	oshb,name
אבידה	אבד	oshb,verb
אביה	אב	oshb,noun
אביהו	אב	oshb,noun
אביהו	אביה	oshb,name
אביהם	אב	oshb,noun
אביהן	אב	oshb,noun
אביו	אב	oshb,noun
אביוניה	אביון	oshb,form
אביונים	אביון	oshb,adj
אביחיל	אביהיל	oshb,name
אביט	נבט	oshb,verb
אביך	אב	oshb,noun
אביכם	אב	oshb,noun
אביכן	אב	oshb,noun
אבים	אבה	oshb,verb
אבין	בין	oshb,verb
אבינדב	בןאבינדב	oshb,name
אבינה	בין	oshb,verb
אבינו	אב	oshb,noun
אביני	אביון	oshb,adj
אבינים	אביון	oshb,adj
אבינך	אביון	oshb,form
אבינר	אבנר	oshb,name
אביעה	נבע	oshb,verb
אבירי	אביר	oshb,adj
אביריו	אביר	oshb,form
אביריך	אביר	oshb,form
אבירים	אביר	oshb,adj
אביתי	אבה	oshb,verb
אביתם	אבה	oshb,verb
אבכה	בכה	oshb,verb
אבלה	אבל	oshb,name
אבלו	אבל	oshb,verb
אבלות	אבל	oshb,adj
אבלים	אבל	oshb,adj
אבלך	אבל	oshb,noun
אבלם	אבל	oshb,noun
אבלע	בלע	oshb,verb
אבנה	בנה	oshb,verb
אבנו	אבן	oshb,noun
אבנטים	אבנט	oshb,noun
אבני	אבן	oshb,noun
אבניה	אבן	oshb,noun
אבניהם	אבן	oshb,noun
אבניו	אבן	oshb,noun
אבניך	אבן	oshb,noun
אבנים	אבן	oshb,noun
אבנך	בנה	oshb,verb
אבעא	בעא	oshb,adj
אבעבעת	אבעבעה	oshb,noun
אבקם	אבק	oshb,noun
אבקר	בקר	oshb,verb
אבקש	בקש	oshb,verb
אבקשה	בקש	oshb,verb
אבקשנו	בקש	oshb,verb
אבקת	אבקה	oshb,noun
אברח	ברח	oshb,verb
אברך	ברך	oshb,verb
אברכה	ברך	oshb,verb
אברכך	ברך	oshb,verb
אברכם	ברך	oshb,verb
אברתו	אברה	oshb,noun
אבשה	בוש	oshb,verb
אבשי	אבישי	oshb,name
אבשלום	אבישלום	oshb,name
אבשלם	אבישלום	oshb,name
אבת	אב	oshb,noun
אבתי	אב	oshb,noun
אבתיהם	אב	oshb,noun
אבתיו	אב	oshb,noun
אבתיך	אב	oshb,noun
אבתיכם	אב	oshb,noun
אבתינו	אב	oshb,noun
אבתם	אב	oshb,noun
אגאל	גאל	oshb,verb
אגאלם	גאל	oshb,verb
אגאלתי	גאל	oshb,verb
אגדות	אגדה	oshb,noun
אגדיל	גדל	oshb,verb
אגדל	גדל	oshb,verb
אגדע	גדע	oshb,verb
אגדת	אגדה	oshb,noun
אגוע	גוע	oshb,verb
אגוף	נגף	oshb,verb
אגור	גור	oshb,verb
אגורה	גור	oshb,verb
אגיד	נגד	oshb,verb
אגידה	נגד	oshb,verb
אגידנו	נגד	oshb,verb
אגילה	גיל	oshb,verb
אגלה	גלה	oshb,verb
אגלי	אגל	oshb,noun
אגמי	אגם	oshb,adj
אגמיהם	אגם	oshb,noun
אגפיה	אגף	oshb,noun
אגפיו	אגף	oshb,noun
אגפיך	אגף	oshb,noun
אגרה	אגר	oshb,verb
אגרה	אגרא	oshb,adj
אגרות	אגרת	oshb,noun
אגרטלי	אגרטל	oshb,noun
אגרע	גרע	oshb,verb
אגרש	גרש	oshb,verb
אגרשם	גרש	oshb,verb
אגרשנו	גרש	oshb,verb
אגרתא	אגרא	oshb,noun
אגרתיהם	אגרת	oshb,noun
אדאג	דאג	oshb,verb
אדביק	דבק	oshb,verb
אדבר	דבר	oshb,verb
אדברה	דבר	oshb,verb
אדדה	דדה	oshb,verb
אדדם	דדה	oshb,verb
אדום	אדם	oshb,name
אדומים	אדמי	oshb,noun
אדון	אדני	oshb,noun
אדוני	אדני	oshb,noun
אדוניה	אדון	oshb,noun
אדוניהם	אדון	oshb,noun
אדונים	אדון	oshb,noun
אדונינו	אדון	oshb,noun
אדוש	אדש	oshb,verb
אדות	אודות	oshb,noun
אדותי	אודות	oshb,noun
אדותיך	אודות	oshb,noun
אדיחם	נדח	oshb,verb
אדירו	אדיר	oshb,adj
אדירי	אדיר	oshb,adj
אדיריהם	אדיר	oshb,adj
אדיריו	אדיר	oshb,adj
אדיריך	אדיר	oshb,adj
אדירים	אדיר	oshb,adj
אדלג	דלג	oshb,verb
אדמדמת	אדמדם	oshb,adj
אדמה	אדם	oshb,adj
אדמה	דמה	oshb,verb
אדמו	אדם	oshb,verb
אדמוני	אדמני	oshb,adj
אדמות	אדמה	oshb,noun
אדמיים	אדמי	oshb,noun
אדמים	אדם	oshb,adj
אדמית	אדמי	oshb,noun
אדמת	אדמה	oshb,noun
אדמתה	אדמה	oshb,noun
אדמתו	אדמה	oshb,noun
אדמתי	אדמה	oshb,noun
אדמתך	אדמה	oshb,noun
אדמתכם	אדמה	oshb,noun
אדמתם	אדמה	oshb,noun
אדמתנו	אדמה	oshb,noun
אדן	נבוזראדן	oshb,name
אדנו	אדון	oshb,noun
אדני	אדון	oshb,noun
אדני	אדן	oshb,noun
אדניה	אדון	oshb,noun
אדניה	אדן	oshb,noun
אדניהו	אדניה	oshb,name
אדניהם	אדון	oshb,noun
אדניהם	אדן	oshb,noun
אדניו	אדון	oshb,noun
אדניו	אדן	oshb,noun
אדניו	אדני	oshb,noun
אדניך	אדון	oshb,noun
אדניכם	אדון	oshb,noun
אדנים	אדון	oshb,noun
אדנים	אדן	oshb,noun
אדנינו	אדון	oshb,noun
אדנינו	אדני	oshb,noun
אדננו	אדון	oshb,noun
אדע	ידע	oshb,verb
אדעה	ידע	oshb,verb
אדקם	דקק	oshb,verb
אדרגזריא	אדרגזר	oshb,noun
אדרה	אדר	oshb,name
אדרוש	דרש	oshb,verb
אדרי	אדר	oshb,adj
אדריכם	דרך	oshb,verb
אדרים	אדיר	oshb,adj
אדרם	אדיר	oshb,adj
אדרש	דרש	oshb,verb
אדרשנו	דרש	oshb,verb
אדרתו	אדרת	oshb,noun
אדרתם	אדרת	oshb,noun
אהבה	אהב	oshb,verb
אהבו	אהב	oshb,verb
אהבוך	אהב	oshb,verb
אהבום	אהב	oshb,verb
אהבי	אהב	oshb,verb
אהביה	אהב	oshb,verb
אהביו	אהב	oshb,verb
אהביך	אהב	oshb,verb
אהבים	אהב	oshb,verb
אהבך	אהב	oshb,verb
אהבם	אהב	oshb,verb
אהבת	אהב	oshb,verb
אהבת	אהבה	oshb,noun
אהבתהו	אהב	oshb,verb
אהבתי	אהב	oshb,verb
אהבתי	אהבה	oshb,noun
אהבתיך	אהב	oshb,verb
אהבתך	אהב	oshb,verb
אהבתך	אהבה	oshb,noun
אהבתם	אהב	oshb,verb
אהבתם	אהבה	oshb,noun
אהבתנו	אהב	oshb,verb
אהבתני	אהב	oshb,verb
אהגה	הגה	oshb,verb
אהובה	אהב	oshb,verb
אהודנו	ידה	oshb,verb
אהודענה	ידע	oshb,verb
אהיה	היה	oshb,verb
אהלה	אהל	oshb,noun
אהלו	אהל	oshb,noun
אהלי	אהל	oshb,noun
אהליהם	אהל	oshb,noun
אהליך	אהל	oshb,noun
אהליכם	אהל	oshb,noun
אהלים	אהל	oshb,noun
אהלך	אהל	oshb,noun
אהלך	הלך	oshb,verb
אהלל	הלל	oshb,verb
אהללה	הלל	oshb,verb
אהללך	הלל	oshb,verb
אהללנו	הלל	oshb,verb
אהפך	הפך	oshb,verb
אהרג	הרג	oshb,verb
אהרוג	הרג	oshb,verb
אהרוס	הרס	oshb,verb
אהרן	אהרון	oshb,name
אהרס	הרס	oshb,verb
אובד	אבד	oshb,verb
אובילם	יבל	oshb,verb
אוביש	יבש	oshb,verb
אובל	יבל	oshb,verb
אודה	ידה	oshb,verb
אודיע	ידע	oshb,verb
אודיעה	ידע	oshb,verb
אודיעך	ידע	oshb,verb
אודיעם	ידע	oshb,verb
אודך	ידה	oshb,verb
